 0,0000	 0,0320
11,0000	 0,0445
22,0000	 0,0559
34,0000	 0,0724
46,0000	 0,0823
55,0000	 0,0936
67,0000	 0,1052
79,0000	 0,1146
91,0000	 0,1293
100,0000	 0,1406
112,0000	 0,1482
124,0000	 0,1535
133,0000	 0,1668
139,0000	 0,1743
151,0000	 0,1798
163,0000	 0,1896
175,0000	 0,1954
184,0000	 0,1990
196,0000	 0,2123
208,0000	 0,2199
220,0000	 0,2307
232,0000	 0,2386
244,0000	 0,2394
256,0000	 0,2442
265,0000	 0,2482
277,0000	 0,2573
289,0000	 0,2615
302,0000	 0,2632
310,0000	 0,2725
322,0000	 0,2777
334,0000	 0,2786
344,0000	 0,2848
355,0000	 0,2937
367,0000	 0,2901
379,0000	 0,2910
388,0000	 0,2965
400,0000	 0,3038
412,0000	 0,3066
424,0000	 0,3066
433,0000	 0,3103
445,0000	 0,3113
457,0000	 0,3132
470,0000	 0,3256
481,0000	 0,3189
493,0000	 0,3237
505,0000	 0,3247
514,0000	 0,3286
526,0000	 0,3266
538,0000	 0,3315
550,0000	 0,3237
556,0000	 0,3355
568,0000	 0,3375
580,0000	 0,3476
593,0000	 0,3445
604,0000	 0,3405
616,0000	 0,3435
628,0000	 0,3395
637,0000	 0,3497
649,0000	 0,3507
661,0000	 0,3548
673,0000	 0,3497
679,0000	 0,3580
691,0000	 0,3601
703,0000	 0,3497
715,0000	 0,3622
724,0000	 0,3590
736,0000	 0,3632
748,0000	 0,3476
761,0000	 0,3654
772,0000	 0,3590
784,0000	 0,3548
796,0000	 0,3611
805,0000	 0,3664
814,0000	 0,3601
826,0000	 0,3664
838,0000	 0,3622
847,0000	 0,3707
859,0000	 0,3654
871,0000	 0,3632
883,0000	 0,3569
892,0000	 0,3654
904,0000	 0,3675
916,0000	 0,3622
929,0000	 0,3718
937,0000	 0,3675
949,0000	 0,3675
961,0000	 0,3729
970,0000	 0,3697
982,0000	 0,3664
994,0000	 0,3632
1006,0000	 0,3675
1012,0000	 0,3707
1024,0000	 0,3707
1036,0000	 0,3654
1048,0000	 0,3718
1057,0000	 0,3707
1069,0000	 0,3632
1081,0000	 0,3675
1094,0000	 0,3729
1102,0000	 0,3675
1114,0000	 0,3707
1126,0000	 0,3697
1138,0000	 0,3729
1150,0000	 0,3773
1162,0000	 0,3817
1174,0000	 0,3751
1180,0000	 0,3795
1192,0000	 0,3806
1204,0000	 0,3675
1216,0000	 0,3762
1225,0000	 0,3654
1237,0000	 0,3729
1249,0000	 0,3718
1262,0000	 0,3729
1273,0000	 0,3740
1285,0000	 0,3686
1297,0000	 0,3795
1306,0000	 0,3773
1318,0000	 0,3740
1330,0000	 0,3686
1343,0000	 0,3718
1354,0000	 0,3795
1366,0000	 0,3839
1378,0000	 0,3762
1387,0000	 0,3784
1399,0000	 0,3729
1411,0000	 0,3773
1423,0000	 0,3729
1432,0000	 0,3751
1444,0000	 0,3740
1456,0000	 0,3762
1469,0000	 0,3762
1480,0000	 0,3751
1492,0000	 0,3729
1504,0000	 0,3697
1513,0000	 0,3664
1522,0000	 0,3817
1534,0000	 0,3773
1546,0000	 0,3751
1555,0000	 0,3729
1567,0000	 0,3707
1579,0000	 0,3664
1591,0000	 0,3740
1600,0000	 0,3839
1612,0000	 0,3784
1624,0000	 0,3773
1637,0000	 0,3740
1645,0000	 0,3784
1657,0000	 0,3762
1669,0000	 0,3795
1681,0000	 0,3740
1690,0000	 0,3828
1702,0000	 0,3806
1714,0000	 0,3751
1726,0000	 0,3817
1738,0000	 0,3784
1750,0000	 0,3795
1762,0000	 0,3806
1774,0000	 0,3806
1786,0000	 0,3850
1798,0000	 0,3773
1804,0000	 0,3751
1816,0000	 0,3795
1828,0000	 0,3762
1840,0000	 0,3773
1849,0000	 0,3773
1861,0000	 0,3784
1873,0000	 0,3918
1886,0000	 0,3762
1894,0000	 0,3784
1906,0000	 0,3817
1918,0000	 0,3643
1930,0000	 0,3828
1942,0000	 0,3773
1954,0000	 0,3817
1966,0000	 0,3817
1972,0000	 0,3784
1984,0000	 0,3729
1996,0000	 0,3686
2008,0000	 0,3773
2017,0000	 0,3784
2029,0000	 0,3740
2041,0000	 0,3729
2054,0000	 0,3795
2062,0000	 0,3740
2074,0000	 0,3740
2086,0000	 0,3795
2095,0000	 0,3740
2107,0000	 0,3773
2119,0000	 0,3762
2131,0000	 0,3795
2140,0000	 0,3839
2152,0000	 0,3762
2164,0000	 0,3729
2177,0000	 0,3762
2185,0000	 0,3740
2197,0000	 0,3884
2209,0000	 0,3686
2221,0000	 0,3707
2233,0000	 0,3697
2245,0000	 0,3675
2257,0000	 0,3861
2263,0000	 0,3806
2275,0000	 0,3718
2287,0000	 0,3718
2299,0000	 0,3751
2308,0000	 0,3707
2320,0000	 0,3707
2332,0000	 0,3817
2345,0000	 0,3622
2356,0000	 0,3740
2368,0000	 0,3839
2380,0000	 0,3952
2389,0000	 0,3795
2401,0000	 0,3773
2413,0000	 0,3740
2425,0000	 0,3729
2434,0000	 0,3729
2446,0000	 0,3686
2458,0000	 0,3751
2470,0000	 0,3654
2482,0000	 0,3795
2494,0000	 0,3839
2506,0000	 0,3784
2512,0000	 0,3751
2524,0000	 0,3762
2536,0000	 0,3773
2548,0000	 0,3740
2557,0000	 0,3697
2569,0000	 0,3784
2581,0000	 0,3707
2594,0000	 0,3817
2602,0000	 0,3828
2614,0000	 0,3751
2626,0000	 0,3740
2638,0000	 0,3718
2650,0000	 0,3773
2662,0000	 0,3729
2674,0000	 0,3740
2683,0000	 0,3654
